Unnamed: 0,position,title,place_id,latitude,longitude,rating,reviews,type,types
3,4,Panchaleshwar Mahadev Mandir,ChIJAaKfK3bAwjsRC2-GUMYx0GI,18.5141375,73.8422787,4.8,109,Hindu temple,['Hindu temple']
4,5,Sadguru Shri Jangli Maharaj Samadhi Temple,ChIJtzBAq33AwjsRyK0LTVNyLKc,18.5265763,73.8504224,4.6,1735,Hindu temple,"['Hindu temple', 'Tourist attraction']"
5,6,Tukai Devi Mandir,ChIJwxdEqdC-wjsRbnMG_oSmRko,18.5586904,73.7886201,4.6,615,Hindu temple,['Hindu temple']
6,7,Mahadev temple,ChIJN_AFUS6-wjsRJcYRVKpea4w,18.4867903,73.7865357,4.8,17,Hindu temple,['Hindu temple']
7,8,Shri Shambho Mahadev Mandir,ChIJ4e2czf7pwjsRjOUZQpr5qg0,18.4850408,73.9393731,4.5,213,Hindu temple,['Hindu temple']
8,9,Shirdi Sai Devasthan,ChIJYZFb5bnHwjsR69iBeg6QpbI,18.6416121,73.8770408,4.7,10525,Hindu temple,"['Hindu temple', 'Charity', 'Non-profit organization', 'Tourist attraction']"
9,10,Shree Tukai devi Temple,ChIJjUKootm-wjsR-USivi1l5iY,18.5586306,73.7885506,4.6,116,Hindu temple,['Hindu temple']
10,11,Shree Rokadoba Devasthan,ChIJa__eTnvAwjsRjFuDn8p-agU,18.5235085,73.8509955,4.6,374,Hindu temple,['Hindu temple']
11,12,Shree Kala Ram Mandir,ChIJ4wFSsGfAwjsRqgPz7JXkY1A,18.5209702,73.8630591,4.6,46,Hindu temple,['Hindu temple']
12,13,Nilkantheshwar Mandir,ChIJn7bukFnAwjsRuucgefY7zxQ,18.5264571,73.8750854,4.5,73,Hindu temple,['Hindu temple']
13,14,Amba Mata mandir,ChIJVVVVVOjqwjsRP-wdOiCMoy0,18.4558486,73.86941159999999,4.4,780,Hindu temple,['Hindu temple']
14,15,Swaminarayan Mandir,ChIJOVrmCY3BwjsR9onmz-rHtD0,18.5176246,73.8668551,4.5,149,Hindu temple,"['Hindu temple', 'Place of worship']"
15,16,ShivaShankar Mandir,ChIJz_QOnRnAwjsRwODA089wzk0,18.4929612,73.86041639999999,4.6,22,Hindu temple,['Hindu temple']
16,17,Shiv Temple,ChIJWUfFz12-wjsR3g_2gNAumLA,18.5160895,73.7736489,4.6,52,Hindu temple,['Hindu temple']
17,18,Shree Mahadev Mandir,ChIJEbrnNeK_wjsRApKwKwVCwp0,18.4836162,73.8256565,4.6,40,Hindu temple,['Hindu temple']
18,19,sacchiyay Mata Temple,ChIJb1Fm7MjqwjsRxmpAx2vWAt4,18.4565117,73.8519933,4.8,224,Hindu temple,['Hindu temple']
19,20,Shani Mandir,ChIJRaSX6r3qwjsRk-bct3n8LQM,18.468384,73.8640135,4.5,593,Hindu temple,['Hindu temple']
0,1,SHRI Balaji Mandir,ChIJl0mSSEvBwjsRrT5AjbNdMtY,18.5044546,73.8798035,5.0,21,Hindu temple,['Hindu temple']
